Casa,Brand,Family,Item Code,Smart,Inches,Resolution,Tot Qty,Unit Price,Revenue,Refresh Rate,Sound Quality,Connectivity Options,Energy Efficiency,Pixel Density (PPI),Response Time (ms),Month
South,LG,LED,LED55,Yes,45,HD,94,376,35344,120,Basic,2,C,40.05285764,4,February
North,LG,LED,PLED40,Yes,45,HD,84,376,31584,60,Basic,2,C,36.7151195,10,February
North,LG,LED,PLED40,Yes,45,FHD,84,377,31668,60,Basic,2,C,36.7151195,10,February
South,LG,LED,PLED25,Yes,45,FHD,94,377,35438,60,Basic,2,C,58.7441912,10,February
North,Panasonic,LED,LED65U,Yes,45,FHD,84,379,31836,120,Basic,2,C,67.78175908,4,February
North,Panasonic,LED,PLED40,Yes,45,FHD,84,380,31920,60,Basic,2,C,36.7151195,10,February
North,LG,LED,LED55U,Yes,45,FHD,84,380,31920,120,Basic,2,C,80.10571528,4,February
South,Panasonic,LED,PLED50,Yes,45,FHD,94,380,35720,60,Basic,2,C,29.3720956,10,February
North,LG,LED,PLED43S,Yes,45,FHD,84,380,31920,60,Basic,2,C,51.2303993,10,February
North,Panasonic,LED,LED55,Yes,45,FHD,84,381,32004,120,Basic,2,C,40.05285764,4,February
North,LG,LED,PLED40,Yes,45,FHD,85,381,32385,60,Basic,2,C,36.7151195,10,February
South,Samsung,LED,LED 55U,Yes,43,FHD,87,381,33147,60,Premium,3,C,176.2325736,10,February
North,Panasonic,LED,PLED50,Yes,45,FHD,84,382,32088,60,Basic,2,C,29.3720956,10,February
Beirut,Panasonic,LED,PLED43S,Yes,45,FHD,100,382,38200,60,Basic,2,C,51.2303993,10,February
North,Sony,LED,PLED32,Yes,45,FHD,84,383,32172,60,Basic,2,C,45.89389938,10,February
North,Samsung,LED,PLED50S,Yes,55,UHD,105,383,40215,120,Premium,4,C,88.1162868,4,February
Beirut,Panasonic,LED,LED55U,Yes,45,FHD,99,385,38115,120,Basic,2,C,80.10571528,4,February
Beirut,Panasonic,LED,PLED40S,Yes,45,UHD,101,387,39087,60,Basic,2,C,36.7151195,10,February
South,Sony,LED,LED55U,Yes,45,UHD,94,388,36472,120,Basic,2,C,80.10571528,4,February
South,Panasonic,LED,LED50U,Yes,45,UHD,95,388,36860,60,Basic,2,C,88.1162868,10,February
North,Sony,LED,PLED50,Yes,45,UHD,84,392,32928,60,Basic,2,C,29.3720956,10,February
North,LG,LED,PLED41,Yes,45,UHD,84,392,32928,60,Basic,2,C,53.72944317,10,February
North,Panasonic,LED,PLED43S,Yes,45,UHD,84,392,32928,60,Basic,2,C,51.2303993,10,February
South,Sony,LED,PLED40,Yes,45,UHD,94,393,36942,60,Basic,2,C,36.7151195,10,February
North,LG,LED,LED50U,Yes,45,UHD,84,393,33012,60,Basic,2,C,88.1162868,10,February
North,LG,LED,PLED25,Yes,45,UHD,85,393,33405,60,Basic,2,C,58.7441912,10,February
North,Panasonic,LED,PLED32S,Yes,45,UHD,84,394,33096,60,Basic,2,C,45.89389938,10,February
North,Panasonic,LED,PLED32S,Yes,45,UHD,84,395,33180,60,Basic,2,C,45.89389938,10,February
Beirut,Panasonic,LED,LED55U,Yes,45,UHD,100,395,39500,120,Basic,2,C,80.10571528,4,February
Beirut,Sony,LED,LED55U,Yes,45,UHD,100,397,39700,120,Basic,2,C,80.10571528,4,February
North,LG,LED,LED65U,Yes,45,UHD,85,397,33745,120,Basic,2,C,67.78175908,4,February
Beirut,Sony,LED,PLED29,Yes,45,UHD,99,398,39402,60,Basic,2,C,50.64154414,10,February
South,Sony,LED,PLED41,Yes,45,UHD,94,398,37412,60,Basic,2,C,53.72944317,10,February
North,Sony,LED,T32,Yes,50,HD,84,399,33516,60,Basic,2,C,45.89389938,10,February
North,LG,LED,PLED32,Yes,50,HD,84,399,33516,60,Basic,2,C,45.89389938,10,February
South,Panasonic,LED,LED55U,Yes,45,UHD,94,399,37506,120,Basic,2,C,80.10571528,4,February
South,Panasonic,LED,PLED50,Yes,50,HD,94,400,37600,60,Basic,2,C,29.3720956,10,February
Beirut,Panasonic,LED,LED 55U,Yes,50,HD,98,400,39200,120,Basic,2,C,80.10571528,4,February
North,Panasonic,LED,LED65U,Yes,50,HD,85,400,34000,120,Basic,2,C,67.78175908,4,February
South,Sony,LED,PLED25,Yes,50,FHD,95,401,38095,60,Basic,2,C,58.7441912,10,February
North,Sony,LED,T41,Yes,50,FHD,84,403,33852,60,Basic,2,C,35.81962878,10,February
South,Panasonic,LED,PLED43,Yes,50,FHD,94,403,37882,60,Basic,2,C,51.2303993,10,February
South,Sony,LED,PLED50,Yes,50,FHD,94,403,37882,60,Basic,2,C,29.3720956,10,February
North,Panasonic,LED,PLED32S,Yes,50,FHD,85,403,34255,60,Basic,2,C,45.89389938,10,February
South,Samsung,LED,LED 55U,Yes,52,UHD,83,404,33532,120,Basic,3,C,50.64154414,4,February
South,LG,LED,PLED40S,Yes,50,FHD,94,405,38070,60,Basic,2,C,36.7151195,10,February
North,Panasonic,LED,PLED25,Yes,50,HD,84,406,34104,60,Basic,2,C,58.7441912,10,February
Beirut,Panasonic,LED,PLED50,Yes,50,HD,102,406,41412,60,Basic,2,C,29.3720956,10,February
North,LG,LED,LED55U,Yes,50,FHD,84,407,34188,120,Basic,2,C,80.10571528,4,February
North,Panasonic,LED,PLED32S,Yes,50,HD,84,408,34272,60,Basic,2,C,45.89389938,10,February
North,Sony,LED,PLED32S,Yes,50,HD,84,409,34356,60,Basic,2,C,45.89389938,10,February
North,Sony,LED,PLED43,Yes,50,HD,84,411,34524,60,Basic,2,C,51.2303993,10,February
South,Panasonic,LED,PLED32,Yes,50,HD,94,412,38728,60,Basic,2,C,45.89389938,10,February
North,Panasonic,LED,LED50S,Yes,50,HD,84,413,34692,60,Basic,2,C,29.3720956,10,February
Beirut,Sony,LED,PLED40,Yes,50,FHD,101,413,41713,60,Basic,2,C,36.7151195,10,February
North,LG,LED,LED 55U,Yes,50,UHD,84,414,34776,120,Basic,2,C,80.10571528,4,February
North,TCL,LED,LED52,Yes,43,FHD,126,414,52164,60,Premium,3,D,51.2303993,10,February
South,Sony,LED,PLED32,Yes,50,FHD,94,415,39010,60,Basic,2,C,45.89389938,10,February
North,Sony,LED,PLED25,Yes,50,FHD,85,415,35275,60,Basic,2,C,58.7441912,10,February
Beirut,Sony,LED,T50,Yes,50,FHD,102,416,42432,60,Basic,2,C,29.3720956,10,February
Beirut,Panasonic,LED,PLED29,Yes,50,FHD,101,417,42117,60,Basic,2,C,50.64154414,10,February
North,LG,LED,LED65U,Yes,50,UHD,84,418,35112,120,Basic,2,C,67.78175908,4,February
Beirut,Sony,LED,PLED32S,Yes,50,FHD,98,418,40964,60,Basic,2,C,45.89389938,10,February
South,Sony,LED,PLED29,Yes,50,FHD,95,419,39805,60,Basic,2,C,50.64154414,10,February
Beirut,Sony,LED,PLED32,Yes,50,FHD,102,420,42840,60,Basic,2,C,45.89389938,10,February
Beirut,Panasonic,LED,PLED32S,Yes,50,FHD,102,420,42840,60,Basic,2,C,45.89389938,10,February
North,Panasonic,LED,PLED50S,Yes,50,FHD,84,421,35364,60,Basic,2,C,29.3720956,10,February
North,Panasonic,LED,PLED32S,Yes,50,FHD,84,421,35364,60,Basic,2,C,45.89389938,10,February
South,Panasonic,LED,LED50U,Yes,50,FHD,94,422,39668,60,Basic,2,C,88.1162868,10,February
South,Panasonic,LED,PLED50,Yes,50,FHD,94,422,39668,60,Basic,2,C,29.3720956,10,February
Beirut,Panasonic,LED,PLED50S,Yes,50,FHD,98,424,41552,60,Basic,2,C,29.3720956,10,February
Beirut,Panasonic,LED,LED65U,Yes,50,FHD,102,425,43350,120,Basic,2,C,67.78175908,4,February
North,Panasonic,LED,PLED40,Yes,50,FHD,84,426,35784,60,Basic,2,C,36.7151195,10,February
North,Panasonic,LED,PLED25,Yes,50,FHD,84,427,35868,60,Basic,2,C,58.7441912,10,February
North,Panasonic,LED,LED50U,Yes,50,FHD,85,427,36295,60,Basic,2,C,88.1162868,10,February
North,Panasonic,LED,LED55U,Yes,50,UHD,84,428,35952,120,Basic,2,C,80.10571528,4,February
North,Sony,LED,PLED50S,Yes,50,UHD,84,429,36036,60,Basic,2,C,29.3720956,10,February
South,Sony,LED,PLED43S,Yes,50,UHD,94,429,40326,60,Basic,2,C,51.2303993,10,February
South,Panasonic,LED,PLED40,Yes,50,UHD,94,430,40420,60,Basic,2,C,36.7151195,10,February
North,Sony,LED,PLED32,Yes,50,UHD,84,431,36204,60,Basic,2,C,45.89389938,10,February
Beirut,Panasonic,LED,LED 55U,Yes,50,UHD,102,431,43962,120,Basic,2,C,80.10571528,4,February
South,Sony,LED,PLED32,Yes,50,UHD,95,431,40945,60,Basic,2,C,45.89389938,10,February
Beirut,Panasonic,LED,PLED25,Yes,50,UHD,98,432,42336,60,Basic,2,C,58.7441912,10,February
North,Sony,LED,PLED32,Yes,50,UHD,85,432,36720,60,Basic,2,C,45.89389938,10,February
North,Panasonic,LED,PLED25,Yes,50,UHD,84,433,36372,60,Basic,2,C,58.7441912,10,February
North,Panasonic,LED,LED55U,Yes,50,UHD,84,434,36456,120,Basic,2,B,80.10571528,4,February
North,Sony,LED,PLED25,Yes,50,UHD,84,435,36540,60,Basic,2,B,58.7441912,10,February
Beirut,Sony,LED,PLED29,Yes,50,UHD,102,435,44370,60,Basic,2,B,50.64154414,10,February
North,Sony,LED,LED50U,Yes,50,UHD,84,436,36624,60,Basic,2,B,88.1162868,10,February
South,Samsung,LED,LED50S,Yes,50,UHD,94,438,41172,60,Premium,2,B,29.3720956,10,February
South,Sony,LED,LED55U,Yes,50,UHD,94,439,41266,120,Basic,2,B,80.10571528,4,February
South,Panasonic,LED,PLED43S,Yes,50,UHD,94,439,41266,60,Basic,2,B,51.2303993,10,February
North,Sony,LED,PLED32S,Yes,50,UHD,84,440,36960,60,Basic,2,B,45.89389938,10,February
North,Panasonic,LED,PLED32S,Yes,52,HD,84,442,37128,60,Basic,2,B,45.89389938,10,February
Mount Lebanon,Panasonic,LED,PLED32S,Yes,65,HD,104,443,46072,60,Enhanced,3,E,26.70190509,10,February
North,Panasonic,LED,PLED50S,Yes,52,HD,84,445,37380,60,Basic,2,B,29.3720956,10,February
South,Panasonic,LED,PLED29,Yes,52,HD,94,448,42112,60,Basic,2,B,50.64154414,10,February
South,Sony,LED,PLED29,Yes,52,HD,95,448,42560,60,Basic,2,B,50.64154414,10,February
Beirut,Sony,LED,LED50U,Yes,52,HD,102,451,46002,60,Basic,2,B,88.1162868,10,February
Beirut,Sony,LED,PLED25,Yes,52,HD,101,452,45652,60,Basic,2,B,58.7441912,10,February
Beirut,Sony,LED,PLED32S,Yes,52,HD,100,453,45300,60,Basic,2,B,45.89389938,10,February
South,Panasonic,LED,PLED40,Yes,52,HD,94,453,42582,60,Basic,2,B,36.7151195,10,February
South,Panasonic,LED,PLED32,Yes,52,HD,95,453,43035,60,Basic,2,B,45.89389938,10,February
North,Sony,LED,LED50U,Yes,52,HD,84,455,38220,60,Basic,2,B,88.1162868,10,February
Beirut,Panasonic,LED,PLED50,Yes,52,FHD,99,455,45045,60,Basic,2,B,29.3720956,10,February
Beirut,Panasonic,LED,LED55U,Yes,52,FHD,98,455,44590,120,Basic,2,B,80.10571528,4,February
Bekaa,TCL,LED,PLED41,Yes,45,FHD,99,455,45045,120,Premium,2,C,80.10571528,4,February
Mount Lebanon,Sony,LED,PLED29,Yes,50,FHD,107,456,48792,60,Premium,4,E,137.6816981,10,February
North,LG,LED,PLED43,Yes,45,UHD,76,457,34732,60,Enhanced,3,E,50.64154414,10,February
Beirut,Panasonic,LED,LED50U,Yes,52,FHD,99,458,45342,60,Basic,2,B,88.1162868,10,February
North,Sony,LED,LED55,Yes,52,HD,84,458,38472,120,Basic,2,B,40.05285764,4,February
North,Sony,LED,PLED50S,Yes,52,HD,85,458,38930,60,Basic,2,B,29.3720956,10,February
Beirut,Panasonic,LED,PLED43S,Yes,52,FHD,99,460,45540,60,Basic,2,B,51.2303993,10,February
South,Sony,LED,PLED43S,Yes,52,HD,95,460,43700,60,Basic,2,B,51.2303993,10,February
North,LG,LED,PLED40S,Yes,58,HD,113,460,51980,60,Premium,4,C,75.96231621,10,February
South,TCL,LED,LED50S,Yes,52,FHD,94,461,43334,60,Premium,2,B,80.10571528,10,February
South,Sony,LED,PLED32S,Yes,52,FHD,94,461,43334,60,Basic,2,B,45.89389938,10,February
North,Sony,LED,T40,Yes,52,FHD,84,464,38976,60,Basic,2,B,36.7151195,10,February
North,Sony,LED,PLED32S,Yes,52,FHD,84,464,38976,60,Basic,2,B,45.89389938,10,February
North,Sony,LED,PLED43S,Yes,52,FHD,84,464,38976,60,Basic,2,B,51.2303993,10,February
Beirut,Panasonic,LED,PLED32,Yes,52,FHD,102,465,47430,60,Basic,2,B,45.89389938,10,February
South,Sony,LED,LED55,Yes,52,FHD,94,465,43710,120,Basic,2,B,40.05285764,4,February
South,Sony,LED,PLED32S,Yes,52,FHD,94,466,43804,60,Basic,2,B,45.89389938,10,February
South,Sony,LED,LED65U,Yes,52,FHD,94,467,43898,120,Basic,2,B,67.78175908,4,February
Beirut,LG,LED,LED50S,Yes,52,UHD,100,468,46800,60,Premium,2,B,75.96231621,10,February
North,TCL,LED,LED58U,Yes,50,FHD,42,468,19656,120,Enhanced,4,E,80.10571528,4,February
North,Panasonic,LED,LED55,Yes,52,UHD,84,470,39480,120,Basic,2,B,40.05285764,4,February
North,Panasonic,LED,PLED50,Yes,52,UHD,84,471,39564,60,Basic,2,B,29.3720956,10,February
Beirut,Panasonic,LED,PLED40S,Yes,52,UHD,102,471,48042,60,Basic,2,B,36.7151195,10,February
South,Sony,LED,LED65U,Yes,52,FHD,94,474,44556,120,Basic,2,B,67.78175908,4,February
North,Panasonic,LED,PLED50S,Yes,52,UHD,84,478,40152,60,Basic,2,B,29.3720956,10,February
North,Panasonic,LED,LED55U,Yes,52,UHD,85,480,40800,120,Basic,2,B,80.10571528,4,February
South,Sony,LED,PLED40S,Yes,52,UHD,95,480,45600,60,Basic,2,B,36.7151195,10,February
North,Sony,LED,LED50S,Yes,52,UHD,84,481,40404,60,Basic,2,B,29.3720956,10,February
Beirut,Sony,LED,PLED40S,Yes,52,UHD,98,481,47138,60,Basic,2,B,36.7151195,10,February
North,Panasonic,LED,PLED40,Yes,52,UHD,84,481,40404,60,Basic,2,B,36.7151195,10,February
North,Sony,LED,PLED32,Yes,52,UHD,84,485,40740,60,Basic,2,B,45.89389938,10,February
North,Panasonic,LED,LED65U,Yes,52,UHD,84,486,40824,120,Basic,2,B,67.78175908,4,February
Mount Lebanon,Sony,LED,LED50S,Yes,58,HD,93,486,45198,120,Premium,3,A,102.4607986,4,February
Bekaa,Sony,LED,PLED41S,Yes,50,HD,91,488,44408,60,Premium,3,B,28.24239962,10,February
North,Sony,LED,PLED25,Yes,52,UHD,84,489,41076,60,Basic,2,B,58.7441912,10,February
Beirut,Sony,LED,LED55,Yes,52,UHD,99,489,48411,120,Basic,2,B,40.05285764,4,February
Beirut,Sony,LED,PLED40S,Yes,52,UHD,100,490,49000,60,Basic,2,B,36.7151195,10,February
North,Panasonic,LED,LED65U,Yes,52,UHD,84,490,41160,120,Basic,2,B,67.78175908,4,February
Beirut,Sony,LED,LED65U,Yes,52,UHD,100,491,49100,120,Basic,2,B,67.78175908,4,February
North,Samsung,LED,LED50S,Yes,52,UHD,84,494,41496,60,Premium,2,B,26.70190509,10,February
North,TCL,LED,LED50S,Yes,55,HD,84,496,41664,60,Premium,3,B,88.1162868,10,February
North,Sony,LED,PLED32S,Yes,55,HD,84,497,41748,60,Basic,2,B,45.89389938,10,February
North,Sony,LED,PLED32S,Yes,55,HD,84,502,42168,60,Basic,2,B,45.89389938,10,February
South,Sony,LED,PLED32,Yes,55,HD,95,502,47690,60,Basic,2,B,45.89389938,10,February
Beirut,Sony,LED,PLED32,Yes,55,HD,99,507,50193,60,Basic,2,B,45.89389938,10,February
North,Sony,LED,LED50U,Yes,55,HD,84,508,42672,60,Basic,2,B,88.1162868,10,February
South,Sony,LED,LED65U,Yes,55,HD,94,511,48034,120,Basic,2,B,67.78175908,4,February
North,Sony,LED,LED55,Yes,55,HD,84,512,43008,120,Basic,2,B,40.05285764,4,February
Beirut,Sony,LED,PLED32S,Yes,55,HD,98,513,50274,60,Basic,2,B,45.89389938,10,February
Mount Lebanon,Panasonic,LED,PLED25,Yes,40,FHD,110,513,56430,120,Enhanced,3,E,42.36359942,4,February
North,TCL,LED,LED50S,Yes,55,HD,85,514,43690,120,Basic,4,B,29.3720956,4,February
South,Sony,LED,LED55,Yes,55,HD,94,515,48410,120,Basic,2,B,40.05285764,4,February
North,Sony,LED,PLED50,Yes,55,HD,84,516,43344,60,Basic,2,B,29.3720956,10,February
Beirut,TCL,LED,LED50S,Yes,55,HD,102,517,52734,60,Premium,3,B,110.1453585,10,February
Beirut,Sony,LED,LED50U,Yes,55,FHD,99,517,51183,60,Basic,2,B,88.1162868,10,February
Bekaa,Sony,LED,PLED25,Yes,55,FHD,75,520,39000,60,Basic,2,B,58.7441912,10,February
North,Samsung,LED,LED50S,Yes,55,HD,84,520,43680,120,Premium,2,B,55.07267925,4,February
Beirut,Samsung,LED,LED50S,Yes,55,HD,100,523,52300,60,Premium,3,B,102.4607986,10,February
North,Sony,LED,PLED50,Yes,55,FHD,84,524,44016,60,Basic,2,B,29.3720956,10,February
South,Sony,LED,LED50U,Yes,55,FHD,94,524,49256,60,Basic,2,B,88.1162868,10,February
North,TCL,LED,LED50S,Yes,55,HD,84,526,44184,60,Premium,3,B,80.10571528,10,February
Beirut,Sony,LED,PLED40S,Yes,55,FHD,102,530,54060,60,Basic,2,B,36.7151195,10,February
Mount Lebanon,Samsung,LED,PLED32,Yes,55,FHD,94,533,50102,120,Enhanced,3,A,25.32077207,4,February
North,Sony,LED,LED65U,Yes,55,FHD,84,535,44940,120,Basic,2,B,67.78175908,4,February
Beirut,Sony,LED,PLED50,Yes,55,FHD,100,537,53700,60,Basic,2,B,29.3720956,10,February
South,Sony,LED,PLED32,Yes,55,FHD,94,537,50478,60,Basic,2,B,45.89389938,10,February
North,LG,LED,LED50S,Yes,55,HD,84,541,45444,120,Premium,3,B,51.2303993,4,February
Mount Lebanon,TCL,LED,T43,Yes,55,FHD,99,542,53658,120,Basic,3,A,51.2303993,4,February
South,Sony,LED,PLED50S,Yes,55,UHD,95,543,51585,60,Basic,2,B,29.3720956,10,February
Beirut,Sony,LED,PLED25,Yes,55,UHD,102,546,55692,60,Basic,2,B,58.7441912,10,February
North,Sony,LED,PLED43S,Yes,55,UHD,84,546,45864,60,Basic,2,B,51.2303993,10,February
North,Sony,LED,PLED25,Yes,55,UHD,85,547,46495,60,Basic,2,B,58.7441912,10,February
Beirut,Sony,LED,PLED25,Yes,55,UHD,99,548,54252,60,Basic,2,B,58.7441912,10,February
Bekaa,Panasonic,LED,PLED40S,Yes,45,HD,53,552,29256,120,Enhanced,3,A,55.07267925,4,February
North,Sony,LED,LED55U,Yes,55,UHD,84,553,46452,120,Basic,2,B,80.10571528,4,February
South,Sony,LED,PLED50,Yes,55,UHD,94,553,51982,60,Basic,2,B,29.3720956,10,February
Mount Lebanon,LG,LED,PLED32S,Yes,75,HD,100,556,55600,60,Enhanced,3,A,42.36359942,10,February
North,TCL,LED,LED50S,Yes,55,FHD,84,560,47040,60,Basic,4,B,29.3720956,10,February
Bekaa,TCL,LED,LED50S,Yes,55,FHD,74,560,41440,120,Basic,4,B,40.05285764,4,February
South,Sony,LED,T40,Yes,55,UHD,95,560,53200,60,Basic,2,B,36.7151195,10,February
North,Sony,LED,LED65U,Yes,55,UHD,85,561,47685,120,Basic,2,B,67.78175908,4,February
North,Sony,LED,LED55U,Yes,55,UHD,85,571,48535,120,Basic,2,B,80.10571528,4,February
Beirut,Panasonic,LED,PLED41,Yes,43,HD,59,575,33925,120,Enhanced,3,A,88.1162868,4,February
South,TCL,LED,LED50S,Yes,55,FHD,94,582,54708,120,Premium,3,B,58.7441912,4,February
South,TCL,LED,LED50S,Yes,55,FHD,94,586,55084,60,Premium,3,B,55.07267925,10,February
North,TCL,LED,LED50S,Yes,55,FHD,85,589,50065,60,Basic,4,B,84.72719885,10,February
Beirut,Panasonic,LED,PLED50,Yes,43,UHD,110,589,64790,120,Basic,3,A,107.4588863,4,February
South,TCL,LED,LED50S,Yes,55,FHD,94,593,55742,120,Basic,4,B,67.78175908,4,February
Beirut,TCL,LED,LED50S,Yes,55,FHD,98,596,58408,120,Basic,4,B,44.0581434,4,February
North,TCL,LED,LED50S,Yes,55,UHD,84,599,50316,60,Basic,4,B,51.2303993,10,February
Mount Lebanon,TCL,LED,LED65U,Yes,65,HD,103,605,62315,60,Premium,3,E,50.64154414,10,February
North,TCL,LED,LED50S,Yes,55,UHD,84,607,50988,120,Premium,3,B,42.36359942,4,February
South,TCL,LED,LED50S,Yes,55,UHD,94,612,57528,60,Basic,4,B,176.2325736,10,February
South,Panasonic,LED,LED75U,Yes,52,UHD,98,616,60368,120,Enhanced,3,A,68.84084907,4,February
South,Samsung,LED,LED50S,Yes,55,FHD,94,623,58562,60,Basic,4,B,151.9246324,10,February
Bekaa,LG,LED,LED50S,Yes,55,UHD,72,624,44928,60,Premium,2,B,50.64154414,10,February
North,Samsung,LED,LED50S,Yes,55,UHD,84,628,52752,60,Premium,3,B,176.2325736,10,February
South,TCL,LED,LED50S,Yes,55,UHD,95,631,59945,120,Basic,4,B,55.07267925,4,February
North,TCL,LED,LED50S,Yes,55,UHD,84,632,53088,120,Basic,4,B,53.72944317,4,February
North,TCL,LED,LED50S,Yes,55,UHD,84,647,54348,60,Basic,4,B,37.9811581,10,February
Beirut,Sony,LED,PLED32S,Yes,75,UHD,95,648,61560,60,Enhanced,3,E,51.2303993,10,February
North,Samsung,LED,LED50S,Yes,58,HD,84,649,54516,120,Basic,4,B,75.96231621,4,February
South,TCL,LED,LED50S,Yes,58,HD,94,651,61194,120,Premium,3,B,29.3720956,4,February
North,Sony,LED,LED50S,Yes,58,HD,85,651,55335,120,Premium,2,B,37.9811581,4,February
Bekaa,Samsung,LED,LED50S,Yes,58,HD,74,653,48322,120,Basic,4,B,58.7441912,4,February
Bekaa,TCL,LED,LED50S,Yes,58,HD,70,653,45710,60,Premium,4,B,67.78175908,10,February
Bekaa,Samsung,LED,LED50S,Yes,58,HD,68,657,44676,60,Basic,4,B,97.90698534,10,February
South,LG,LED,LED50S,Yes,58,HD,94,660,62040,120,Premium,2,B,29.3720956,4,February
North,Samsung,LED,LED50S,Yes,58,HD,84,662,55608,120,Premium,3,B,19.58139707,4,February
Bekaa,LG,LED,LED50S,Yes,58,HD,73,667,48691,120,Premium,3,B,110.1453585,4,February
Mount Lebanon,Panasonic,LED,T40,Yes,52,UHD,111,671,74481,60,Basic,3,D,25.32077207,10,February
Bekaa,LG,LED,LED75U,Yes,58,HD,73,674,49202,120,Enhanced,3,B,58.7441912,4,February
North,TCL,LED,LED50S,Yes,58,HD,84,682,57288,120,Premium,4,B,19.58139707,4,February
North,TCL,LED,LED50S,Yes,58,HD,84,693,58212,120,Basic,4,B,22.59391969,4,February
North,TCL,LED,LED50S,Yes,58,FHD,84,713,59892,60,Basic,4,B,37.9811581,10,February
Bekaa,LG,LED,LED50S,Yes,58,HD,69,717,49473,120,Basic,4,B,32.63566178,4,February
North,TCL,LED,LED50S,Yes,58,FHD,84,718,60312,120,Premium,4,B,37.9811581,4,February
Bekaa,TCL,LED,LED50S,Yes,58,FHD,70,719,50330,120,Premium,4,B,37.9811581,4,February
South,LG,LED,LED52,Yes,55,UHD,116,723,83868,60,Enhanced,2,B,97.90698534,10,February
Beirut,Panasonic,LED,PLED29,Yes,75,FHD,105,731,76755,60,Enhanced,3,E,26.70190509,10,February
North,Panasonic,LED,LED50S,Yes,58,HD,84,733,61572,60,Premium,2,B,42.36359942,10,February
South,TCL,LED,LED 55U,Yes,52,FHD,114,736,83904,60,Enhanced,3,B,67.78175908,10,February
Bekaa,LG,LED,PLED43S,Yes,50,FHD,110,739,81290,120,Premium,3,A,84.72719885,4,February
Bekaa,TCL,LED,LED50S,Yes,58,FHD,73,741,54093,60,Premium,3,B,37.9811581,10,February
North,LG,LED,LED50S,Yes,58,HD,84,743,62412,120,Basic,4,B,37.9811581,4,February
North,Sony,LED,T43,Yes,75,UHD,107,743,79501,120,Basic,3,B,102.4607986,4,February
North,Samsung,LED,LED50S,Yes,58,HD,84,754,63336,120,Basic,4,B,36.7151195,4,February
North,LG,LED,LED50S,Yes,58,HD,84,754,63336,60,Basic,4,B,48.95349267,10,February
North,Samsung,LED,LED50S,Yes,58,FHD,85,762,64770,60,Premium,4,B,48.95349267,10,February
North,TCL,LED,LED50S,Yes,58,FHD,84,764,64176,60,Premium,4,B,28.24239962,10,February
North,LG,LED,LED50S,Yes,58,FHD,84,764,64176,120,Basic,4,B,107.4588863,4,February
North,Samsung,LED,LED50S,Yes,58,FHD,85,771,65535,120,Premium,3,A,28.24239962,4,February
Mount Lebanon,LG,LED,T43,Yes,52,HD,87,771,67077,120,Basic,4,E,28.24239962,4,February
Bekaa,LG,LED,LED50S,Yes,58,FHD,73,782,57086,120,Basic,4,A,176.2325736,4,February
North,Panasonic,LED,LED50S,Yes,58,HD,84,790,66360,60,Premium,2,A,22.59391969,10,February
Beirut,LG,LED,PLED25,Yes,45,HD,95,797,75715,120,Enhanced,3,B,32.63566178,4,February
North,LG,LED,LED50S,Yes,58,FHD,84,801,67284,60,Basic,4,A,45.89389938,10,February
Bekaa,Samsung,LED,LED50S,Yes,58,FHD,75,818,61350,120,Premium,4,A,97.90698534,4,February
Bekaa,Samsung,LED,LED50S,Yes,58,FHD,64,820,52480,60,Basic,4,A,107.4588863,10,February
North,Samsung,LED,LED50S,Yes,58,FHD,84,822,69048,60,Basic,4,A,75.96231621,10,February
Bekaa,Samsung,LED,LED50S,Yes,58,FHD,67,823,55141,120,Basic,4,A,35.81962878,4,February
South,Samsung,LED,PLED50S,Yes,65,UHD,29,824,23896,120,Enhanced,3,A,34.15359954,4,February
North,Samsung,LED,LED50S,Yes,58,FHD,84,828,69552,60,Basic,4,A,19.58139707,10,February
Bekaa,Samsung,LED,LED50S,Yes,58,FHD,73,831,60663,60,Premium,3,A,29.3720956,10,February
Bekaa,Panasonic,LED,LED50S,Yes,58,FHD,69,838,57822,120,Basic,4,A,75.96231621,4,February
Bekaa,TCL,LED,LED50S,Yes,58,UHD,74,840,62160,60,Premium,4,A,22.59391969,10,February
Bekaa,Samsung,LED,LED50S,Yes,58,UHD,69,846,58374,120,Premium,4,A,48.95349267,4,February
North,LG,LED,LED50S,Yes,58,FHD,84,848,71232,60,Basic,4,A,48.95349267,10,February
Bekaa,Samsung,LED,LED50S,Yes,58,UHD,67,852,57084,60,Premium,3,A,44.0581434,10,February
Bekaa,LG,LED,PLED40S,Yes,43,FHD,114,854,97356,120,Premium,3,E,176.2325736,4,February
Bekaa,TCL,LED,LED55U,Yes,58,HD,81,862,69822,120,Enhanced,3,C,32.63566178,4,February
Bekaa,Samsung,LED,LED50S,Yes,58,UHD,75,871,65325,120,Premium,4,A,32.63566178,4,February
Bekaa,Panasonic,LED,LED50S,Yes,58,UHD,72,874,62928,120,Basic,4,A,102.4607986,4,February
Bekaa,Panasonic,LED,LED50S,Yes,58,UHD,65,889,57785,60,Premium,3,A,55.07267925,10,February
North,TCL,LED,PLED32,Yes,40,UHD,89,895,79655,120,Basic,3,D,55.07267925,4,February
Beirut,LG,LED,LED55U,Yes,50,HD,113,900,101700,60,Enhanced,3,A,151.9246324,10,February
Bekaa,Samsung,LED,LED50S,Yes,58,UHD,66,908,59928,60,Premium,4,A,176.2325736,10,February
